二位字母,三位字母,數字,ISO 3166-2相應代碼,國家或地區
AD,AND,020,ISO 3166-2:AD,安道爾
AE,ARE,784,ISO 3166-2:AE,阿聯
AF,AFG,004,ISO 3166-2:AF,阿富汗
AG,ATG,028,ISO 3166-2:AG,安地卡及巴布達
AI,AIA,660,ISO 3166-2:AI,安圭拉
AL,ALB,008,ISO 3166-2:AL,阿爾巴尼亞
AM,ARM,051,ISO 3166-2:AM,亞美尼亞
AO,AGO,024,ISO 3166-2:AO,安哥拉
AQ,ATA,010,ISO 3166-2:AQ,南極洲
AR,ARG,032,ISO 3166-2:AR,阿根廷
AS,ASM,016,ISO 3166-2:AS,美屬薩摩亞
AT,AUT,040,ISO 3166-2:AT,奧地利
AU,AUS,036,ISO 3166-2:AU,澳大利亞
AW,ABW,533,ISO 3166-2:AW,阿魯巴
AX,ALA,248,ISO 3166-2:AX,奧蘭
AZ,AZE,031,ISO 3166-2:AZ,亞塞拜然
BA,BIH,070,ISO 3166-2:BA,波士尼亞與赫塞哥維納
BB,BRB,052,ISO 3166-2:BB,巴貝多
BD,BGD,050,ISO 3166-2:BD,孟加拉國
BE,BEL,056,ISO 3166-2:BE,比利時
BF,BFA,854,ISO 3166-2:BF,布吉納法索
BG,BGR,100,ISO 3166-2:BG,保加利亞
BH,BHR,048,ISO 3166-2:BH,巴林
BI,BDI,108,ISO 3166-2:BI,蒲隆地
BJ,BEN,204,ISO 3166-2:BJ,貝南
BL,BLM,652,ISO 3166-2:BL,聖巴泰勒米
BM,BMU,060,ISO 3166-2:BM,百慕達
BN,BRN,096,ISO 3166-2:BN,汶萊
BO,BOL,068,ISO 3166-2:BO,玻利維亞
BQ,BES,535,ISO 3166-2:BQ,加勒比荷蘭
BR,BRA,076,ISO 3166-2:BR,巴西
BS,BHS,044,ISO 3166-2:BS,巴哈馬
BT,BTN,064,ISO 3166-2:BT,不丹
BV,BVT,074,ISO 3166-2:BV,布韋島
BW,BWA,072,ISO 3166-2:BW,波札那
BY,BLR,112,ISO 3166-2:BY,白俄羅斯
BZ,BLZ,084,ISO 3166-2:BZ,貝里斯
CA,CAN,124,ISO 3166-2:CA,加拿大
CC,CCK,166,ISO 3166-2:CC,科科斯（基林）群島
CD,COD,180,ISO 3166-2:CD,剛果民主共和國
CF,CAF,140,ISO 3166-2:CF,中非
CG,COG,178,ISO 3166-2:CG,剛果共和國
CH,CHE,756,ISO 3166-2:CH,瑞士
CI,CIV,384,ISO 3166-2:CI,象牙海岸
CK,COK,184,ISO 3166-2:CK,庫克群島
CL,CHL,152,ISO 3166-2:CL,智利
CM,CMR,120,ISO 3166-2:CM,喀麥隆
CN,CHN,156,ISO 3166-2:CN,中國
CO,COL,170,ISO 3166-2:CO,哥倫比亞
CR,CRI,188,ISO 3166-2:CR,哥斯大黎加
CU,CUB,192,ISO 3166-2:CU,古巴
CV,CPV,132,ISO 3166-2:CV,維德角
CW,CUW,531,ISO 3166-2:CW,庫拉索
CX,CXR,162,ISO 3166-2:CX,聖誕島
CY,CYP,196,ISO 3166-2:CY,賽普勒斯
CZ,CZE,203,ISO 3166-2:CZ,捷克
DE,DEU,276,ISO 3166-2:DE,德國
DJ,DJI,262,ISO 3166-2:DJ,吉布地
DK,DNK,208,ISO 3166-2:DK,丹麥
DM,DMA,212,ISO 3166-2:DM,多米尼克
DO,DOM,214,ISO 3166-2:DO,多明尼加
DZ,DZA,012,ISO 3166-2:DZ,阿爾及利亞
EC,ECU,218,ISO 3166-2:EC,厄瓜多
EE,EST,233,ISO 3166-2:EE,愛沙尼亞
EG,EGY,818,ISO 3166-2:EG,埃及
EH,ESH,732,ISO 3166-2:EH,撒拉威阿拉伯民主共和國
ER,ERI,232,ISO 3166-2:ER,厄利垂亞
ES,ESP,724,ISO 3166-2:ES,西班牙
ET,ETH,231,ISO 3166-2:ET,衣索比亞
FI,FIN,246,ISO 3166-2:FI,芬蘭
FJ,FJI,242,ISO 3166-2:FJ,斐濟
FK,FLK,238,ISO 3166-2:FK,福克蘭群島
FM,FSM,583,ISO 3166-2:FM,密克羅尼西亞聯邦
FO,FRO,234,ISO 3166-2:FO,法羅群島
FR,FRA,250,ISO 3166-2:FR,法國
GA,GAB,266,ISO 3166-2:GA,加彭
GB,GBR,826,ISO 3166-2:GB,英國
GD,GRD,308,ISO 3166-2:GD,格瑞那達
GE,GEO,268,ISO 3166-2:GE,喬治亞
GF,GUF,254,ISO 3166-2:GF,法屬圭亞那
GG,GGY,831,ISO 3166-2:GG,根西
GH,GHA,288,ISO 3166-2:GH,加納
GI,GIB,292,ISO 3166-2:GI,直布羅陀
GL,GRL,304,ISO 3166-2:GL,格陵蘭
GM,GMB,270,ISO 3166-2:GM,甘比亞
GN,GIN,324,ISO 3166-2:GN,幾內亞
GP,GLP,312,ISO 3166-2:GP,瓜德羅普
GQ,GNQ,226,ISO 3166-2:GQ,赤道幾內亞
GR,GRC,300,ISO 3166-2:GR,希臘
GS,SGS,239,ISO 3166-2:GS,南喬治亞和南桑威奇群島
GT,GTM,320,ISO 3166-2:GT,瓜地馬拉
GU,GUM,316,ISO 3166-2:GU,關島
GW,GNB,624,ISO 3166-2:GW,幾內亞比索
GY,GUY,328,ISO 3166-2:GY,蓋亞那
HK,HKG,344,ISO 3166-2:HK,香港
HM,HMD,334,ISO 3166-2:HM,赫德島和麥克唐納群島
HN,HND,340,ISO 3166-2:HN,宏都拉斯
HR,HRV,191,ISO 3166-2:HR,克羅埃西亞
HT,HTI,332,ISO 3166-2:HT,海地
HU,HUN,348,ISO 3166-2:HU,匈牙利
ID,IDN,360,ISO 3166-2:ID,印尼
IE,IRL,372,ISO 3166-2:IE,愛爾蘭
IL,ISR,376,ISO 3166-2:IL,以色列
IM,IMN,833,ISO 3166-2:IM,曼島
IN,IND,356,ISO 3166-2:IN,印度
IO,IOT,086,ISO 3166-2:IO,英屬印度洋領地
IQ,IRQ,368,ISO 3166-2:IQ,伊拉克
IR,IRN,364,ISO 3166-2:IR,伊朗
IS,ISL,352,ISO 3166-2:IS,冰島
IT,ITA,380,ISO 3166-2:IT,義大利
JE,JEY,832,ISO 3166-2:JE,澤西
JM,JAM,388,ISO 3166-2:JM,牙買加
JO,JOR,400,ISO 3166-2:JO,約旦
JP,JPN,392,ISO 3166-2:JP,日本
KE,KEN,404,ISO 3166-2:KE,肯亞
KG,KGZ,417,ISO 3166-2:KG,吉爾吉斯
KH,KHM,116,ISO 3166-2:KH,柬埔寨
KI,KIR,296,ISO 3166-2:KI,吉里巴斯
KM,COM,174,ISO 3166-2:KM,葛摩
KN,KNA,659,ISO 3166-2:KN,聖克里斯多福及尼維斯
KP,PRK,408,ISO 3166-2:KP,北韓
KR,KOR,410,ISO 3166-2:KR,韓國
KW,KWT,414,ISO 3166-2:KW,科威特
KY,CYM,136,ISO 3166-2:KY,開曼群島
KZ,KAZ,398,ISO 3166-2:KZ,哈薩克
LA,LAO,418,ISO 3166-2:LA,寮國
LB,LBN,422,ISO 3166-2:LB,黎巴嫩
LC,LCA,662,ISO 3166-2:LC,聖露西亞
LI,LIE,438,ISO 3166-2:LI,列支敦斯登
LK,LKA,144,ISO 3166-2:LK,斯里蘭卡
LR,LBR,430,ISO 3166-2:LR,賴比瑞亞
LS,LSO,426,ISO 3166-2:LS,賴索托
LT,LTU,440,ISO 3166-2:LT,立陶宛
LU,LUX,442,ISO 3166-2:LU,盧森堡
LV,LVA,428,ISO 3166-2:LV,拉脫維亞
LY,LBY,434,ISO 3166-2:LY,利比亞
MA,MAR,504,ISO 3166-2:MA,摩洛哥
MC,MCO,492,ISO 3166-2:MC,摩納哥
MD,MDA,498,ISO 3166-2:MD,摩爾多瓦
ME,MNE,499,ISO 3166-2:ME,蒙特內哥羅
MF,MAF,663,ISO 3166-2:MF,法屬聖馬丁
MG,MDG,450,ISO 3166-2:MG,馬達加斯加
MH,MHL,584,ISO 3166-2:MH,馬紹爾群島
MK,MKD,807,ISO 3166-2:MK,馬其頓
ML,MLI,466,ISO 3166-2:ML,馬利
MM,MMR,104,ISO 3166-2:MM,緬甸
MN,MNG,496,ISO 3166-2:MN,蒙古
MO,MAC,446,ISO 3166-2:MO,澳門
MP,MNP,580,ISO 3166-2:MP,北馬里亞納群島
MQ,MTQ,474,ISO 3166-2:MQ,馬提尼克
MR,MRT,478,ISO 3166-2:MR,茅利塔尼亞
MS,MSR,500,ISO 3166-2:MS,蒙特塞拉特
MT,MLT,470,ISO 3166-2:MT,馬爾他
MU,MUS,480,ISO 3166-2:MU,模里西斯
MV,MDV,462,ISO 3166-2:MV,馬爾地夫
MW,MWI,454,ISO 3166-2:MW,馬拉威
MX,MEX,484,ISO 3166-2:MX,墨西哥
MY,MYS,458,ISO 3166-2:MY,馬來西亞
MZ,MOZ,508,ISO 3166-2:MZ,莫三比克
NA,NAM,516,ISO 3166-2:NA,納米比亞
NC,NCL,540,ISO 3166-2:NC,新喀里多尼亞
NE,NER,562,ISO 3166-2:NE,尼日
NF,NFK,574,ISO 3166-2:NF,諾福克島
NG,NGA,566,ISO 3166-2:NG,奈及利亞
NI,NIC,558,ISO 3166-2:NI,尼加拉瓜
NL,NLD,528,ISO 3166-2:NL,荷蘭
NO,NOR,578,ISO 3166-2:NO,挪威
NP,NPL,524,ISO 3166-2:NP,尼泊爾
NR,NRU,520,ISO 3166-2:NR,諾魯
NU,NIU,570,ISO 3166-2:NU,紐埃
NZ,NZL,554,ISO 3166-2:NZ,紐西蘭
OM,OMN,512,ISO 3166-2:OM,阿曼
PA,PAN,591,ISO 3166-2:PA,巴拿馬
PE,PER,604,ISO 3166-2:PE,秘魯
PF,PYF,258,ISO 3166-2:PF,法屬玻里尼西亞
PG,PNG,598,ISO 3166-2:PG,巴布亞紐幾內亞
PH,PHL,608,ISO 3166-2:PH,菲律賓
PK,PAK,586,ISO 3166-2:PK,巴基斯坦
PL,POL,616,ISO 3166-2:PL,波蘭
PM,SPM,666,ISO 3166-2:PM,聖皮埃爾和密克隆
PN,PCN,612,ISO 3166-2:PN,皮特凱恩群島
PR,PRI,630,ISO 3166-2:PR,波多黎各
PS,PSE,275,ISO 3166-2:PS,巴勒斯坦
PT,PRT,620,ISO 3166-2:PT,葡萄牙
PW,PLW,585,ISO 3166-2:PW,帛琉
PY,PRY,600,ISO 3166-2:PY,巴拉圭
QA,QAT,634,ISO 3166-2:QA,卡達
RE,REU,638,ISO 3166-2:RE,留尼旺
RO,ROU,642,ISO 3166-2:RO,羅馬尼亞
RS,SRB,688,ISO 3166-2:RS,塞爾維亞
RU,RUS,643,ISO 3166-2:RU,俄羅斯
RW,RWA,646,ISO 3166-2:RW,盧安達
SA,SAU,682,ISO 3166-2:SA,沙烏地阿拉伯
SB,SLB,090,ISO 3166-2:SB,索羅門群島
SC,SYC,690,ISO 3166-2:SC,塞席爾
SD,SDN,729,ISO 3166-2:SD,蘇丹
SE,SWE,752,ISO 3166-2:SE,瑞典
SG,SGP,702,ISO 3166-2:SG,新加坡
SH,SHN,654,ISO 3166-2:SH,聖赫勒拿
SI,SVN,705,ISO 3166-2:SI,斯洛維尼亞
SJ,SJM,744,ISO 3166-2:SJ,斯瓦爾巴群島和揚馬延島
SK,SVK,703,ISO 3166-2:SK,斯洛伐克
SL,SLE,694,ISO 3166-2:SL,獅子山
SM,SMR,674,ISO 3166-2:SM,聖馬利諾
SN,SEN,686,ISO 3166-2:SN,塞內加爾
SO,SOM,706,ISO 3166-2:SO,索馬利亞
SR,SUR,740,ISO 3166-2:SR,蘇利南
SS,SSD,728,ISO 3166-2:SS,南蘇丹
ST,STP,678,ISO 3166-2:ST,聖多美和普林西比
SV,SLV,222,ISO 3166-2:SV,薩爾瓦多
SX,SXM,534,ISO 3166-2:SX,荷屬聖馬丁
SY,SYR,760,ISO 3166-2:SY,敘利亞
SZ,SWZ,748,ISO 3166-2:SZ,史瓦濟蘭
TC,TCA,796,ISO 3166-2:TC,特克斯與凱科斯群島
TD,TCD,148,ISO 3166-2:TD,查德
TF,ATF,260,ISO 3166-2:TF,法屬南部領地
TG,TGO,768,ISO 3166-2:TG,多哥
TH,THA,764,ISO 3166-2:TH,泰國
TJ,TJK,762,ISO 3166-2:TJ,塔吉克
TK,TKL,772,ISO 3166-2:TK,托克勞
TL,TLS,626,ISO 3166-2:TL,東帝汶
TM,TKM,795,ISO 3166-2:TM,土庫曼
TN,TUN,788,ISO 3166-2:TN,突尼西亞
TO,TON,776,ISO 3166-2:TO,東加
TR,TUR,792,ISO 3166-2:TR,土耳其
TT,TTO,780,ISO 3166-2:TT,千里達及托巴哥
TV,TUV,798,ISO 3166-2:TV,吐瓦魯
TW,TWN,158,ISO 3166-2:TW,中國台灣省 1
TZ,TZA,834,ISO 3166-2:TZ,坦尚尼亞
UA,UKR,804,ISO 3166-2:UA,烏克蘭
UG,UGA,800,ISO 3166-2:UG,烏干達
UM,UMI,581,ISO 3166-2:UM,美國本土外小島嶼
US,USA,840,ISO 3166-2:US,美國
UY,URY,858,ISO 3166-2:UY,烏拉圭
UZ,UZB,860,ISO 3166-2:UZ,烏茲別克
VA,VAT,336,ISO 3166-2:VA,梵蒂岡
VC,VCT,670,ISO 3166-2:VC,聖文森及格瑞那丁
VE,VEN,862,ISO 3166-2:VE,委內瑞拉
VG,VGB,092,ISO 3166-2:VG,英屬維京群島
VI,VIR,850,ISO 3166-2:VI,美屬維京群島
VN,VNM,704,ISO 3166-2:VN,越南
VU,VUT,548,ISO 3166-2:VU,萬那杜
WF,WLF,876,ISO 3166-2:WF,瓦利斯和富圖納
WS,WSM,882,ISO 3166-2:WS,薩摩亞
YE,YEM,887,ISO 3166-2:YE,葉門
YT,MYT,175,ISO 3166-2:YT,馬約特
ZA,ZAF,710,ISO 3166-2:ZA,南非
ZM,ZMB,894,ISO 3166-2:ZM,尚比亞
ZW,ZWE,716,ISO 3166-2:ZW,辛巴威
