[hide]Date,Cases*1*2,Deaths*2
20 May 2015,2,0
21 May 2015,3,0
26 May 2015,5,0
27 May 2015,5,0
28 May 2015,7,0
29 May 2015,13,0
30 May 2015,15,0
31 May 2015,18,0
1 June 2015,25,1
2 June 2015,30,1
3 June 2015,30,3
4 June 2015,36,4
5 June 2015,42,5
6 June 2015,64,5
7 June 2015,87,5
8 June 2015,95,7
9 June 2015,108,7
10 June 2015,122,9
11 June 2015,126,10
12 June 2015,138,13
13 June 2015,145,14
14 June 2015,150,16
15 June 2015,154,19
16 June 2015,162,19
17 June 2015,165,23
18 June 2015,166,24
19 June 2015,166,24
20 June 2015,169,25
21 June 2015,172,27
22 June 2015,175,27
23 June 2015,179,27
24 June 2015,180,29
25 June 2015,181,31
26 June 2015,182,31
27 June 2015,182,32
28 June 2015,182,32
29 June 2015,182,33
30 June 2015,182,33
1 July 2015,183,33
2 July 2015,184,33
3 July 2015,185,33
4 July 2015,186,33
5 July 2015,186,33
6 July 2015,186,33
7 July 2015,186,35
8 July 2015,186,35
9 July 2015,186,35
10 July 2015,186,36
11 July 2015,186,36
12 July 2015,186,36
13 July 2015,186,36
14 July 2015,186,36
15 July 2015,186,36
16 July 2015,186,36
17 July 2015,186,36
18 July 2015,186,36
19 July 2015,186,36
20 July 2015,186,36
21 July 2015,186,36
22 July 2015,186,36
23 July 2015,186,36
24 July 2015,186,36
25 July 2015,186,36
26 July 2015,186,36
27 July 2015,186,36
28 July 2015 ~ 24 October 2015,186,36
25 October 2015,186,37
26 October 2015 ~ 24 November 2015,186,37
25 November 2015,186,38
26 November 2015 ~ 28 September 2016,186,38
